Feature,Importance,timestamp
cat__importer_Importer_794,0.000788359,2025-05-12 22:09:03
cat__importer_Importer_727,0.00077923643,2025-05-12 22:09:03
cat__importer_Importer_15,0.0007709372,2025-05-12 22:09:03
cat__importer_Importer_19,0.00076801813,2025-05-12 22:09:03
cat__importer_Importer_48,0.0007642636,2025-05-12 22:09:03
cat__importer_Importer_504,0.0007466748,2025-05-12 22:09:03
cat__importer_Importer_128,0.0007428044,2025-05-12 22:09:03
cat__importer_Importer_542,0.0007002319,2025-05-12 22:09:03
cat__importer_Importer_532,0.00068330776,2025-05-12 22:09:03
cat__importer_Importer_896,0.0006728105,2025-05-12 22:09:03
cat__importer_Importer_899,0.00066214794,2025-05-12 22:09:03
cat__importer_Importer_545,0.000645592,2025-05-12 22:09:03
cat__importer_Importer_636,0.00064001256,2025-05-12 22:09:03
cat__importer_Importer_804,0.00063817366,2025-05-12 22:09:03
cat__importer_Importer_781,0.0006381157,2025-05-12 22:09:03
cat__importer_Importer_187,0.0006348547,2025-05-12 22:09:03
cat__importer_Importer_482,0.00063011696,2025-05-12 22:09:03
cat__importer_Importer_719,0.00061480637,2025-05-12 22:09:03
cat__importer_Importer_39,0.0005925038,2025-05-12 22:09:03
cat__importer_Importer_776,0.0005902603,2025-05-12 22:09:03
cat__importer_Importer_665,0.0005824652,2025-05-12 22:09:03
cat__importer_Importer_194,0.00057003286,2025-05-12 22:09:03
cat__importer_Importer_742,0.0005331671,2025-05-12 22:09:03
cat__importer_Importer_977,0.000501758,2025-05-12 22:09:03
cat__importer_Importer_638,0.00048674573,2025-05-12 22:09:03
cat__importer_Importer_283,0.00046851195,2025-05-12 22:09:03
cat__importer_Importer_210,0.0004597927,2025-05-12 22:09:03
cat__importer_Importer_468,0.00042585708,2025-05-12 22:09:03
cat__importer_Importer_377,0.00041669543,2025-05-12 22:09:03
cat__importer_Importer_290,0.00039429896,2025-05-12 22:09:03
cat__importer_Importer_530,0.00039395268,2025-05-12 22:09:03
cat__importer_Importer_608,0.00033512263,2025-05-12 22:09:03
cat__importer_Importer_72,0.00029499232,2025-05-12 22:09:03
cat__importer_Importer_87,0.00028281164,2025-05-12 22:09:03
cat__importer_Importer_809,0.00025155573,2025-05-12 22:09:03
cat__importer_Importer_131,0.00023615245,2025-05-12 22:09:03
cat__importer_Importer_485,0.00022060862,2025-05-12 22:09:03
cat__importer_Importer_691,0.0002191157,2025-05-12 22:09:03
cat__importer_Importer_95,0.0002032122,2025-05-12 22:09:03
cat__importer_Importer_808,0.00019571795,2025-05-12 22:09:03
cat__importer_Importer_526,0.00018917522,2025-05-12 22:09:03
num__tax_paid_mad,0.00018746225,2025-05-12 22:09:03
cat__importer_Importer_769,0.00017990745,2025-05-12 22:09:03
cat__importer_Importer_802,0.00017832863,2025-05-12 22:09:03
num__weight_kg,0.00016830029,2025-05-12 22:09:03
cat__importer_Importer_845,0.000167974,2025-05-12 22:09:03
cat__importer_Importer_370,0.0001635923,2025-05-12 22:09:03
cat__importer_Importer_812,0.00015958908,2025-05-12 22:09:03
cat__importer_Importer_116,0.0001593998,2025-05-12 22:09:03
cat__importer_Importer_766,0.00015439313,2025-05-12 22:09:03
cat__importer_Importer_427,0.00015113472,2025-05-12 22:09:03
cat__importer_Importer_8,0.00014859784,2025-05-12 22:09:03
cat__importer_Importer_801,0.00014647977,2025-05-12 22:09:03
cat__importer_Importer_877,0.00014353872,2025-05-12 22:09:03
cat__importer_Importer_78,0.00013864697,2025-05-12 22:09:03
cat__importer_Importer_517,0.00013708527,2025-05-12 22:09:03
cat__importer_Importer_989,0.00013637227,2025-05-12 22:09:03
cat__importer_Importer_402,0.00013170084,2025-05-12 22:09:03
cat__importer_Importer_710,0.00011551308,2025-05-12 22:09:03
cat__importer_Importer_919,0.000114706236,2025-05-12 22:09:03
cat__importer_Importer_333,0.000113828086,2025-05-12 22:09:03
cat__importer_Importer_849,0.00011098998,2025-05-12 22:09:03
num__weight_value_ratio,0.00010154839,2025-05-12 22:09:03
cat__importer_Importer_428,9.858276e-05,2025-05-12 22:09:03
cat__importer_Importer_117,9.809586e-05,2025-05-12 22:09:03
cat__importer_Importer_165,9.172156e-05,2025-05-12 22:09:03
cat__importer_Importer_587,8.66096e-05,2025-05-12 22:09:03
cat__importer_Importer_908,7.679507e-05,2025-05-12 22:09:03
cat__importer_Importer_664,7.4635194e-05,2025-05-12 22:09:03
cat__importer_Importer_898,7.3888994e-05,2025-05-12 22:09:03
cat__importer_Importer_138,6.969028e-05,2025-05-12 22:09:03
